"id","product","review","category"
"1","Sprinkler System","Average system","water pressure could be better."""""
"2","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"3","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"4","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"5","Sprinkler System","Average system","water pressure could be better."""""
"6","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"7","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"8","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"9","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"10","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"11","Sprinkler System","Average system","water pressure could be better."""""
"12","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"13","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"14","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"15","Sprinkler System","Average system","water pressure could be better."""""
"16","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"17","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"18","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"19","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"20","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"21","Sprinkler System","Average system","water pressure could be better."""""
"22","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"23","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"24","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"25","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"26","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"27","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"28","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"29","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"30","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"31","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"32","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"33","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"34","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"35","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"36","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"37","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"38","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"39","Sprinkler System","Average system","water pressure could be better."""""
"40","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"41","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"42","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"43","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"44","Sprinkler System","Average system","water pressure could be better."""""
"45","Sprinkler System","Average system","water pressure could be better."""""
"46","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"47","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"48","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"49","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"50","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
