"id","product","review","category"
"1","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"2","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"3","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"4","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"5","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"6","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"7","Compost Manure","Terrible quality manure","waste of money."""""
"8","Sprinkler System","Average system","water pressure could be better."""""
"9","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"10","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"11","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"12","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"13","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"14","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"15","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"16","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"17","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"18","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"19","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"20","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"21","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"22","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"23","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"24","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"25","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"26","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"27","Compost Manure","Terrible quality manure","waste of money."""""
"28","Sprinkler System","Average system","water pressure could be better."""""
"29","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"30","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"31","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"32","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"33","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"34","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"35","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"36","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"37","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"38","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"39","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"40","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"41","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"42","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"43","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"44","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"45","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"46","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"47","Compost Manure","Terrible quality manure","waste of money."""""
"48","Sprinkler System","Average system","water pressure could be better."""""
"49","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"50","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"51","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"52","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"53","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"54","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"55","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"56","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"57","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"58","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"59","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"60","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"61","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"62","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"63","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"64","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"65","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"66","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
