"id","product","review","category"
"1","Sprinkler System","Average system","water pressure could be better."""""
"2","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"3","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"4","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"5","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"6","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"7","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"8","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"9","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"10","Sprinkler System","Average system","water pressure could be better."""""
"11","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"12","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"13","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"14","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"15","Sprinkler System","Average system","water pressure could be better."""""
"16","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"17","Sprinkler System","Average system","water pressure could be better."""""
"18","Sprinkler System","Average system","water pressure could be better."""""
"19","Sprinkler System","Average system","water pressure could be better."""""
"20","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"21","Compost Manure","Terrible quality manure","waste of money."""""
"22","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"23","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"24","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"25","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"26","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"27","Sprinkler System","Average system","water pressure could be better."""""
"28","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"29","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"30","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"31","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"32","Sprinkler System","Average system","water pressure could be better."""""
"33","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"34","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"35","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"36","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"37","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"38","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"39","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"40","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"41","Sprinkler System","Average system","water pressure could be better."""""
"42","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"43","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"44","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"45","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"46","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"47","Compost Manure","Terrible quality manure","waste of money."""""
"48","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"49","Compost Manure","Terrible quality manure","waste of money."""""
"50","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"51","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"52","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"53","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"54","Sprinkler System","Average system","water pressure could be better."""""
"55","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"56","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"57","Sprinkler System","Average system","water pressure could be better."""""
"58","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"59","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"60","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"61","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"62","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"63","Sprinkler System","Average system","water pressure could be better."""""
"64","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"65","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"66","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"67","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"68","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"69","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"70","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"71","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"72","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"73","Sprinkler System","Average system","water pressure could be better."""""
"74","Sprinkler System","Average system","water pressure could be better."""""
"75","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"76","Sprinkler System","Average system","water pressure could be better."""""
"77","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"78","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"79","Sprinkler System","Average system","water pressure could be better."""""
"80","Sprinkler System","Average system","water pressure could be better."""""
"81","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"82","Sprinkler System","Average system","water pressure could be better."""""
"83","Sprinkler System","Average system","water pressure could be better."""""
"84","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"85","Sprinkler System","Average system","water pressure could be better."""""
"86","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"87","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"88","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"89","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"90","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"91","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"92","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"93","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"94","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"95","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"96","Sprinkler System","Average system","water pressure could be better."""""
"97","Sprinkler System","Average system","water pressure could be better."""""
"98","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"99","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"100","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"101","Sprinkler System","Average system","water pressure could be better."""""
"102","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"103","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"104","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"105","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"106","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"107","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"108","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"109","Sprinkler System","Average system","water pressure could be better."""""
"110","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"111","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"112","Sprinkler System","Average system","water pressure could be better."""""
"113","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"114","Sprinkler System","Average system","water pressure could be better."""""
"115","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"116","Sprinkler System","Average system","water pressure could be better."""""
"117","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"118","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"119","Sprinkler System","Average system","water pressure could be better."""""
"120","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"121","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"122","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"123","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"124","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"125","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"126","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"127","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"128","Sprinkler System","Average system","water pressure could be better."""""
"129","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"130","Sprinkler System","Average system","water pressure could be better."""""
"131","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"132","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"133","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"134","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"135","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"136","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"137","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"138","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"139","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"140","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"141","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"142","Sprinkler System","Average system","water pressure could be better."""""
"143","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"144","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"145","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"146","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"147","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"148","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"149","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"150","Sprinkler System","Average system","water pressure could be better."""""
"151","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"152","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"153","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"154","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"155","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"156","Sprinkler System","Average system","water pressure could be better."""""
"157","Sprinkler System","Average system","water pressure could be better."""""
"158","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"159","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"160","Sprinkler System","Average system","water pressure could be better."""""
"161","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"162","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"163","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"164","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"165","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"166","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"167","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"168","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"169","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"170","Sprinkler System","Average system","water pressure could be better."""""
"171","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"172","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"173","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"174","Sprinkler System","Average system","water pressure could be better."""""
"175","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"176","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"177","Sprinkler System","Average system","water pressure could be better."""""
"178","Sprinkler System","Average system","water pressure could be better."""""
"179","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"180","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
