"id","product","review","category"
"1","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"2","Compost Manure","Terrible quality manure","waste of money."""""
"3","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"4","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"5","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"6","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"7","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"8","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"9","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"10","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"11","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"12","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"13","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"14","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"15","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"16","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"17","Compost Manure","Terrible quality manure","waste of money."""""
"18","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"19","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"20","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"21","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"22","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"23","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"24","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"25","Compost Manure","Terrible quality manure","waste of money."""""
"26","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"27","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"28","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"29","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"30","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"31","Compost Manure","Terrible quality manure","waste of money."""""
"32","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"33","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"34","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"35","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"36","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"37","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"38","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"39","Sprinkler System","Average system","water pressure could be better."""""
"40","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
